
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
165	21	45	166
166	164	22	145
167	43	69	24
168	164	21	144
169	43	69	24
170	165	22	145
171	43	69	24
172	45	68	23
173	45	69	24
174	43	69	24
175	111	135	90
176	44	68	23
177	21	45	166
178	22	46	167
179	164	22	145
180	249	22	229
181	43	68	23
182	165	22	145
183	83	107	228
184	164	21	145
185	97	123	242
186	43	68	23
187	22	45	167
188	43	69	24
189	45	68	23
190	21	45	258
191	202	22	182
192	164	22	145
193	45	69	24
194	164	22	145
195	45	69	24
196	164	21	145
197	164	22	145
198	43	69	24
199	22	46	167
200	164	22	145
201	22	45	230
202	45	69	24
203	43	68	23
204	21	45	166
205	133	159	114
206	45	69	24
207	65	91	210
208	22	46	167
209	22	46	167
210	137	161	24
211	22	45	174
212	166	22	147
213	164	22	145
214	44	68	23
215	164	22	145
216	43	69	24
217	22	46	167
218	45	69	24
219	164	21	144
220	21	45	166
221	22	46	167
222	43	69	24
223	43	68	23
224	164	21	144
225	164	22	145
226	22	46	167
227	43	69	24
228	22	45	167
229	248	21	229
230	22	46	167
231	22	46	167
232	43	69	24
233	22	46	167
234	22	43	168
235	164	22	145
236	165	22	145
237	120	144	99
238	22	45	167
239	45	69	24
240	61	85	206
241	137	161	116
242	164	22	145
243	164	22	145
244	165	22	145
245	22	45	167
246	22	139	261
247	22	46	167
248	164	22	145
249	43	68	23
250	22	46	167
251	22	46	167
252	45	69	24
253	43	69	24
254	165	22	145
255	165	22	145
256	22	46	167
257	22	45	167
258	22	46	167
259	22	135	260
260	186	21	165
261	22	46	167
262	45	69	24
263	114	139	259
264	43	68	23
265	45	68	23
266	75	99	54
267	118	141	51
268	43	69	24
269	165	22	145
270	45	69	24
271	45	68	23
272	178	35	158
273	45	68	23
274	21	45	166
275	43	69	24
276	43	69	24
277	22	46	167
278	43	68	23
279	256	114	237
280	45	69	24
281	22	46	167
282	164	22	145
283	44	68	23
284	43	69	24
285	22	46	233
286	120	145	100
287	21	45	166
288	165	22	145
289	164	21	145
290	80	105	225
291	165	22	145
292	164	22	145
293	164	22	145
294	164	22	145
295	43	69	24
296	22	45	167
297	43	69	24
298	164	22	145
299	164	22	145
300	22	45	167
301	21	43	166
302	24	47	169
303	43	69	24
304	22	46	167
305	137	161	24
306	164	22	145
307	258	22	145
308	221	76	201
309	22	46	167
310	22	46	167
311	165	22	145
312	22	45	167
313	43	68	23
314	22	45	167
315	190	46	169
316	164	21	144
317	209	65	188
318	22	43	168
319	164	22	145
320	47	69	23
321	43	69	24
322	164	22	145
323	43	69	24
324	45	69	24
325	45	68	23
326	164	22	145
327	43	68	23
328	21	45	166
329	43	69	24
330	21	45	166
331	22	45	167
332	164	22	145
333	44	68	23
334	45	69	24
335	137	160	115
336	43	69	24
337	22	139	261
338	256	22	237
339	45	68	23
340	165	22	145
341	22	46	167
342	203	59	184
343	165	22	145
344	22	43	168
345	43	69	24
346	43	69	24
347	21	45	166
348	43	68	23
349	165	22	145
350	165	22	145
351	164	22	145
352	113	139	260
353	43	68	23
354	43	69	24
355	45	69	24
356	22	46	167
357	21	45	166
358	164	22	145
359	21	45	211
360	209	21	188
361	165	22	145
362	22	46	167
363	165	22	145
364	45	69	24
365	21	45	166
366	137	161	116
367	164	21	144
368	235	93	216
369	91	115	70
370	164	22	145
371	103	129	84
372	22	47	167
373	43	69	24
374	22	46	167
375	43	68	23
376	22	46	167
377	164	22	145
378	164	22	145
379	44	68	23
380	164	22	145
381	164	22	145
382	43	68	23
383	22	45	167
384	43	68	23
385	43	68	23
386	45	69	24
387	43	69	24
388	22	45	167
389	164	22	145
390	164	22	145
391	165	22	145
392	164	22	145
393	43	69	24
394	43	69	24
395	165	22	145
396	164	21	144
397	43	69	24
398	164	22	145
399	45	68	23
400	164	22	145
401	43	68	23
402	22	46	167
403	45	68	23
404	50	76	29
405	22	46	167
406	45	69	24
407	21	45	166
408	45	69	24
409	43	69	24
410	164	22	145
411	110	134	89
412	43	68	23
413	164	22	145
414	45	69	24
415	45	69	24
416	44	68	23
417	21	45	166
418	168	22	149
419	22	46	167
420	43	69	24
421	43	69	24
422	45	69	24
423	45	68	23
424	43	68	23
425	22	46	167
426	45	69	24
427	164	21	144
428	164	22	145
429	75	98	220
430	21	45	166
431	43	68	23
432	22	46	167
433	137	160	115
434	200	58	181
435	164	22	145
436	45	69	24
437	177	22	158
438	22	45	167
439	45	68	23
440	164	22	145
441	43	69	24
442	133	157	24
443	118	142	97
444	45	68	23
445	164	22	145
446	164	21	144
447	74	98	219
448	21	45	166
449	21	45	166
450	165	22	145
451	137	160	23
452	211	66	189
453	43	69	24
454	165	22	145
455	164	22	145
456	137	161	116
457	43	69	24
458	22	140	259
459	258	22	145
460	43	68	23
461	43	68	23
462	196	22	177
463	22	45	167
464	22	45	167
465	22	45	167
466	43	69	24
467	165	22	145
468	22	45	167
469	22	46	222
470	22	45	229
471	21	45	204
472	43	69	24
473	22	43	166
474	45	69	24
475	256	22	145
476	164	21	145
477	26	49	171
478	164	22	145
479	21	45	166
480	21	45	166
481	164	22	145
482	43	68	23
483	45	69	24
484	164	21	145
485	164	22	145
486	22	45	167
487	21	45	166
488	45	69	24
489	43	68	188
490	243	101	224
491	21	45	166
492	165	22	145
493	164	22	145
494	164	21	144
495	48	72	193
496	164	22	145
497	33	54	178
498	22	46	167
499	164	22	145
500	22	46	167
501	164	22	145
502	164	21	145
503	22	46	167
504	43	68	23
505	43	69	24
506	164	22	145
507	22	45	167
508	44	68	23
509	165	22	145
510	43	69	24
511	44	68	23
512	22	45	170
513	164	22	145
514	44	68	23
515	43	69	24
516	258	114	237
517	164	22	145
518	45	68	23
519	21	45	166
520	43	69	24
521	22	46	167
522	204	62	185
523	45	69	24
524	165	22	145
525	22	45	167
526	22	46	167
527	43	69	24
528	45	69	24
529	165	22	145
530	45	69	24
531	21	45	166
532	45	69	24
533	22	43	166
534	22	45	167
535	43	68	23
536	45	69	24
537	48	70	24
538	258	22	145
539	89	113	234
540	192	21	173
541	51	76	31
542	22	46	167
543	179	22	160
544	164	22	145
545	43	69	24
546	99	123	244
547	165	22	145
548	22	45	167
549	206	22	186
550	33	57	178
551	164	22	145
552	43	69	24
553	101	127	80
554	22	46	167
555	165	22	145
556	22	46	167
557	164	22	145
558	21	45	166
559	43	69	24
560	22	46	167
561	164	22	145
562	22	46	167
563	43	68	23
564	22	45	167
565	165	22	145
566	26	51	171
567	22	46	167
568	45	69	24
569	22	46	167
570	165	22	145
571	45	69	24
572	21	45	208
573	43	69	24
574	113	139	258
575	43	69	24
576	43	68	23
577	43	69	24
578	21	45	166
579	43	69	24
580	44	68	23
581	22	46	167
582	21	45	176
583	164	22	145
584	164	22	145
585	45	68	23
586	22	45	167
587	43	68	23
588	21	43	168
589	43	68	23
590	43	68	23
591	167	24	147
592	21	45	166
593	237	21	218
594	22	46	167
595	22	46	167
596	22	45	198
597	43	68	23
598	22	45	167
599	22	45	259
600	43	69	24
601	43	68	23
602	164	22	145
603	164	22	145
604	164	22	145
605	21	45	253
606	22	45	167
607	43	69	24
608	164	22	145
609	164	22	145
610	22	46	167
611	22	46	167
612	164	22	145
613	43	69	24
614	164	21	144
615	164	21	144
616	22	45	167
617	165	22	145
618	21	45	166
619	43	68	23
620	22	46	167
621	21	45	166
622	22	46	167
623	22	46	167
624	196	54	177
625	22	45	167
626	43	68	23
627	164	21	145
628	164	22	145
629	44	68	23
630	21	45	166
631	256	114	237
632	43	69	24
633	164	21	145
634	165	22	145
635	45	68	23
636	245	103	226
637	165	22	145
638	22	45	167
639	21	45	166
640	174	22	155
641	107	130	252
642	45	68	23
643	165	22	145
644	22	46	167
645	43	69	24
646	22	136	259
647	22	46	167
648	22	46	167
649	179	37	160
650	22	46	180
651	43	68	23
652	45	69	24
653	43	69	24
654	21	45	166
655	164	22	145
656	45	69	24
657	21	45	166
658	22	45	167
659	43	69	24
660	164	22	145
661	198	55	178
662	22	46	167
663	44	68	23
664	45	69	24
665	22	45	167
666	22	45	167
667	45	69	24
668	81	107	226
669	164	22	145
670	164	22	145
671	164	22	145
672	22	48	206
673	185	42	166
674	21	45	185
675	43	69	24
676	22	46	167
677	43	68	23
678	239	96	219
679	43	68	23
680	209	67	190
681	164	22	145
682	43	69	24
683	201	21	180
684	43	69	24
685	43	68	23
686	164	22	145
687	43	69	24
688	165	22	145
689	43	69	24
690	164	22	145
691	164	21	145
692	164	22	145
693	45	69	24
694	43	69	24
695	164	22	145
696	22	46	167
697	252	110	233
698	22	46	167
699	43	68	23
700	22	46	167
701	165	22	145
702	114	137	259
703	22	46	220
704	22	45	167
705	45	69	24
706	45	69	24
707	22	46	167
708	22	45	167
709	45	68	23
710	164	22	145
711	256	22	237
712	206	22	186
713	43	69	24
714	22	46	167
715	45	69	24
716	209	22	188
717	113	139	258
718	164	22	145
719	164	22	145
720	256	21	236
721	21	45	166
722	43	68	23
723	181	22	162
724	22	45	167
725	165	22	145
726	164	22	145
727	45	68	23
728	114	140	93
729	21	45	166
730	22	46	167
731	164	21	145
732	22	45	167
733	22	46	167
734	22	45	167
735	165	22	145
736	22	45	167
737	45	69	24
738	258	21	236
739	164	22	145
740	45	68	23
741	165	22	145
742	43	69	24
743	43	68	23
744	22	45	167
745	260	113	236
746	165	22	145
747	22	46	167
748	21	45	166
749	45	69	24
750	43	69	24
751	45	69	24
752	187	45	168
753	22	46	167
754	43	69	24
755	22	46	167
756	22	45	167
757	122	145	100
758	45	69	24
759	21	45	166
760	45	69	24
761	43	69	24
762	47	69	24
763	164	22	145
764	165	22	145
765	164	22	145
766	43	68	23
767	45	69	24
768	45	68	23
769	194	22	175
770	164	21	144
771	165	22	145
772	21	45	166
773	22	46	167
774	22	45	167
775	22	45	167
776	164	22	145
777	257	22	145
778	164	22	145
779	165	22	145
780	22	45	167
781	43	68	23
782	106	131	253
783	164	22	145
784	22	46	167
785	45	69	24
786	43	68	23
787	44	68	23
788	22	46	167
789	22	140	259
790	43	161	24
791	137	160	23
792	43	69	24
793	45	69	24
794	164	21	145
795	21	45	166
796	22	45	167
797	184	21	165
798	22	45	167
799	22	46	167
800	96	121	75
801	164	22	145
802	164	22	145
803	43	69	24
804	164	22	145
805	164	21	145
806	43	69	24
807	43	68	23
808	44	68	23
809	230	22	211
810	22	46	167
811	164	22	145
812	164	22	145
813	22	43	168
814	165	22	145
815	21	45	166
816	22	46	167
817	21	45	166
818	22	45	191
819	136	160	23
820	203	21	184
821	22	46	167
822	113	138	93
823	164	22	145
824	164	22	145
825	45	69	24
826	22	46	167
827	190	48	171
828	43	68	23
829	22	46	167
830	22	46	167
831	164	21	145
832	220	21	201
833	164	21	144
834	43	68	23
835	22	46	167
836	45	68	23
837	43	69	24
838	22	46	167
839	164	22	145
840	22	43	168
841	43	69	24
842	164	21	144
843	258	22	239
844	164	21	144
845	165	22	145
846	164	22	145
847	22	43	168
848	230	88	211
849	22	45	208
850	108	132	253
851	45	69	24
852	165	22	145
853	45	69	24
854	164	21	145
855	43	69	24
856	45	69	24
857	164	22	145
858	22	47	169
859	164	22	145
860	43	68	23
861	22	46	167
862	45	69	24
863	253	110	233
864	22	46	167
865	85	109	230
866	164	22	145
867	21	45	166
868	45	68	23
869	164	22	145
870	164	22	145
871	164	21	145
872	107	133	88
873	22	46	167
874	22	46	216
875	165	22	145
876	44	68	23
877	43	69	24
878	22	45	167
879	45	69	24
880	164	22	145
881	21	45	166
882	43	69	24
883	22	46	167
884	21	45	166
885	164	22	145
886	44	68	23
887	43	69	24
888	22	45	167
889	195	50	173
890	164	21	144
891	164	22	145
892	101	125	80
893	165	22	145
894	22	43	166
895	21	45	166
896	185	22	165
897	21	45	166
898	61	87	208
899	22	46	167
900	22	43	168
901	164	22	145
902	43	69	24
903	45	68	23
904	22	139	259
905	45	69	24
906	21	45	204
907	164	22	145
908	164	22	145
909	22	46	235
910	164	22	145
911	164	22	145
912	21	45	166
913	22	46	167
914	50	75	195
915	22	46	167
916	251	106	230
917	22	45	167
918	43	69	24
919	22	45	167
920	183	22	164
921	22	46	167
922	22	46	167
923	164	22	145
924	21	45	166
925	164	22	145
926	164	21	145
927	43	69	24
928	164	22	145
929	22	46	167
930	45	69	24
931	22	46	167
932	137	161	116
933	113	137	92
934	22	45	167
935	21	45	166
936	43	69	24
937	164	22	145
938	22	45	167
939	164	21	144
940	164	22	145
941	224	22	205
942	45	161	24
943	22	46	167
944	45	68	23
945	45	68	23
946	22	43	167
947	21	45	166
948	164	22	145
949	164	22	145
950	21	45	166
951	22	45	167
952	164	22	145
953	43	69	24
954	164	21	144
955	21	45	166
956	43	69	24
957	43	68	23
958	164	21	145
959	22	45	167
960	256	113	236
961	164	22	145
962	45	69	24
963	165	22	145
964	172	22	152
965	164	22	145
966	45	69	24
967	137	161	116
968	137	161	24
969	22	46	167
970	22	46	167
971	164	22	145
972	50	76	195
973	22	45	167
974	164	21	145
975	22	46	167
976	43	68	23
977	165	22	145
978	43	69	24
979	164	22	145
980	137	160	24
981	22	45	259
982	164	22	145
983	164	21	144
984	164	22	145
985	22	45	167
986	164	22	145
987	105	129	84
988	114	140	259
989	43	69	24
990	22	45	167
991	45	69	24
992	164	22	145
993	47	69	23
994	164	22	145
995	164	22	145
996	43	68	23
997	45	69	24
998	43	69	24
999	43	68	23
