
Reaction test v3
type	A
number	10

max value	65536
unit	us

test	A
0	11
1	11
2	11
3	11
4	10
5	11
6	11
7	10
8	11
9	11

Reaction test v3
type	A+B+C
number	10

max value	65536
unit	us

test	A	B	C
215	11	37	62
216	11	37	62
217	11	36	62
218	10	36	62
219	10	36	61
220	10	36	61
221	11	36	62
222	10	36	62
223	10	36	62
224	11	36	62
225	11	36	62
226	10	36	62
227	10	36	61
228	10	36	62
229	11	37	62
230	11	37	62
231	11	36	62
232	11	36	62
233	10	36	62
234	10	36	61
235	10	36	61
236	10	36	62
237	10	36	62
238	10	36	62
239	11	36	62
240	11	37	62
241	11	36	62
242	10	36	62
243	11	36	62
244	10	36	61
245	10	36	61
246	11	36	62
247	10	36	61
248	11	37	62
249	10	36	61
250	11	36	62
251	11	36	62
252	11	36	62
253	11	36	62
254	11	36	62
255	11	36	62
256	10	36	61
257	10	36	61
258	10	36	61
259	10	36	61
260	10	36	61
261	10	36	61
262	11	37	62
263	10	36	61
264	11	37	62
265	10	34	61
266	10	36	61
267	10	36	62
268	11	36	62
269	11	36	62
270	10	36	62
271	11	36	62
272	10	36	61
273	11	36	62
274	10	36	62
275	11	36	62
276	11	36	62
277	11	34	62
278	11	36	62
279	11	35	62
280	11	36	62
281	10	36	61
282	10	36	62
283	11	35	62
284	11	36	62
285	10	36	61
286	10	36	61
287	11	36	62
288	10	36	61
289	11	37	62
290	11	37	62
291	11	36	62
292	11	36	62
293	10	36	61
294	11	37	62
295	11	36	62
296	10	36	62
297	11	36	62
298	10	36	62
299	11	36	62
300	11	36	62
301	10	36	61
302	10	36	61
303	10	36	62
304	11	36	62
305	10	36	61
306	11	36	62
307	10	36	62
308	10	36	61
309	11	37	62
310	10	36	61
311	11	36	62
312	10	36	62
313	11	36	62
314	10	36	61
315	11	37	62
316	11	36	62
317	10	36	62
318	11	36	62
319	11	37	62
320	10	36	61
321	11	37	62
322	11	36	62
323	10	36	61
324	11	36	62
325	10	36	61
326	11	36	62
327	11	37	62
328	11	37	62
329	11	35	62
330	10	36	61
331	11	37	62
332	10	36	61
333	11	36	62
334	11	36	62
335	10	36	61
336	10	36	62
337	10	36	62
338	10	34	62
339	11	37	62
340	11	36	62
341	11	36	62
342	11	36	62
343	10	36	62
344	11	36	62
345	10	36	62
346	11	36	62
347	11	36	62
348	10	34	62
349	11	36	62
350	11	36	62
351	11	36	62
352	11	36	62
353	11	36	62
354	10	36	61
355	10	36	61
356	11	37	62
357	10	36	61
358	11	36	62
359	10	36	61
360	11	36	62
361	11	37	62
362	10	36	61
363	11	36	62
364	11	36	62
365	11	36	62
366	11	37	62
367	11	36	62
368	11	36	62
369	10	36	62
370	10	36	62
371	10	36	62
372	10	36	62
373	13	37	62
374	10	36	61
375	11	37	62
376	11	36	62
377	10	36	62
378	10	36	62
379	10	36	61
380	11	36	62
381	10	36	62
382	11	36	62
383	10	36	62
384	11	36	62
385	11	37	62
386	11	37	62
387	11	36	62
388	10	36	62
389	10	36	61
390	11	36	62
391	11	37	62
392	11	36	62
393	11	36	62
394	11	36	62
395	11	37	62
396	10	36	62
397	10	36	62
398	11	37	62
399	11	36	62
400	11	37	62
401	11	37	62
402	11	36	62
403	11	36	62
404	10	36	62
405	11	36	62
406	11	37	62
407	10	36	62
408	10	36	62
409	10	36	61
410	10	36	62
411	11	36	62
412	11	37	62
413	10	36	62
414	10	36	61
415	11	36	62
416	10	36	61
417	11	37	62
418	10	36	61
419	10	36	61
420	11	36	62
421	10	36	62
422	11	36	62
423	11	36	62
424	11	36	62
425	11	36	62
426	11	36	62
427	11	36	62
428	10	36	61
429	10	36	61
430	11	34	62
431	11	36	62
432	11	36	62
433	10	36	61
434	10	36	61
435	10	36	61
436	11	37	62
437	10	36	61
438	10	36	61
439	10	36	61
440	11	36	62
441	11	37	62
442	11	37	62
443	10	36	61
444	11	36	62
445	11	37	62
446	10	36	61
447	10	36	61
448	11	36	62
449	10	36	61
450	11	37	62
451	10	36	62
452	10	36	61
453	11	36	62
454	11	36	62
455	10	36	61
456	11	36	62
457	11	36	62
458	10	36	62
459	10	36	61
460	10	36	61
461	10	36	62
462	11	36	62
463	10	36	62
464	11	36	62
465	10	36	61
466	10	36	61
467	11	36	62
468	11	36	62
469	11	37	62
470	11	37	62
471	10	36	62
472	10	36	62
473	11	36	62
474	11	36	62
475	11	36	62
476	10	36	61
477	11	36	62
478	10	36	62
479	11	36	62
480	10	36	61
481	11	37	62
482	11	36	62
483	11	36	62
484	10	36	61
485	10	36	61
486	11	35	62
487	11	37	62
488	10	36	61
489	10	36	62
490	10	36	62
491	10	36	61
492	11	36	62
493	10	36	62
494	10	34	62
495	10	36	62
496	11	36	62
497	10	36	61
498	10	36	62
499	10	36	61
500	11	36	62
501	11	35	62
502	11	36	62
503	10	36	61
504	11	36	62
505	10	36	61
506	10	36	62
507	10	36	61
508	11	37	62
509	11	36	62
510	11	37	62
511	10	36	62
512	11	36	62
513	11	36	62
514	10	36	62
515	10	36	62
516	11	36	62
517	11	34	62
518	10	36	61
519	11	36	62
520	11	36	62
521	10	36	62
522	11	37	62
523	11	37	62
524	11	36	62
525	10	36	62
526	11	37	62
527	11	36	62
528	11	36	62
529	11	36	62
530	11	37	62
531	10	36	61
532	11	37	62
533	11	37	62
534	10	36	61
535	11	36	62
536	10	36	61
537	11	36	62
538	11	36	62
539	10	36	62
540	10	36	62
541	11	36	62
542	10	36	61
543	11	36	62
544	11	36	62
545	11	36	62
546	10	36	61
547	10	36	62
548	11	36	62
549	10	36	62
550	11	36	62
551	11	37	62
552	11	37	62
553	10	36	61
554	10	36	62
555	11	37	62
556	11	35	62
557	11	36	62
558	10	36	61
559	11	36	62
560	11	36	62
561	11	36	62
562	11	37	62
563	10	36	61
564	11	36	62
565	11	36	62
566	10	36	61
567	11	37	62
568	11	36	62
569	10	36	61
570	11	36	62
571	10	36	61
572	11	36	62
573	10	36	62
574	11	36	62
575	11	37	62
576	10	36	62
577	10	36	61
578	11	36	62
579	10	36	61
580	10	36	62
581	11	36	62
582	10	36	62
583	11	36	62
584	11	36	62
585	10	36	61
586	11	36	62
587	11	36	62
588	11	34	62
589	10	36	62
590	11	35	62
591	11	36	62
592	11	36	62
593	11	37	62
594	10	36	62
595	10	36	62
596	11	36	62
597	10	36	62
598	10	36	62
599	11	36	62
600	11	37	62
601	11	37	62
602	10	36	61
603	10	36	61
604	10	36	61
605	11	37	62
606	11	36	62
607	10	36	61
608	11	36	62
609	10	36	62
610	11	36	62
611	11	37	62
612	11	37	62
613	11	36	62
614	11	36	62
615	10	36	62
616	11	36	62
617	11	36	62
618	10	36	61
619	10	36	62
620	11	36	62
621	11	36	62
622	10	36	62
623	10	36	61
624	10	36	62
625	10	36	62
626	10	36	62
627	11	37	62
628	10	36	61
629	10	36	62
630	11	37	62
631	10	36	62
632	10	36	62
633	10	36	61
634	11	36	62
635	10	36	61
636	11	36	62
637	10	36	61
638	11	36	62
639	11	36	62
640	11	36	62
641	10	34	62
642	11	36	62
643	10	36	61
644	11	36	62
645	11	36	62
646	11	36	62
647	10	36	62
648	11	36	62
649	11	36	62
650	11	36	62
651	11	36	62
652	11	36	62
653	10	36	61
654	10	36	62
655	10	36	61
656	11	37	62
657	10	36	61
658	11	36	62
659	10	36	62
660	10	36	61
661	11	36	62
662	11	34	62
663	10	36	61
664	10	36	61
665	10	36	61
666	11	36	62
667	10	36	62
668	10	36	62
669	10	36	61
670	11	36	62
671	11	36	62
672	10	36	61
673	11	36	62
674	11	37	62
675	11	36	62
676	11	36	62
677	11	36	62
678	11	36	62
679	10	36	62
680	11	37	62
681	10	36	62
682	11	37	62
683	11	36	62
684	10	36	62
685	10	36	62
686	11	36	62
687	11	36	62
688	11	37	62
689	10	36	61
690	11	36	62
691	10	36	61
692	10	36	62
693	11	36	62
694	11	36	62
695	11	36	62
696	10	36	61
697	11	36	62
698	10	36	62
699	11	37	62
700	11	36	62
701	10	36	61
702	10	36	62
703	11	36	62
704	11	36	62
705	11	37	62
706	10	36	62
707	10	36	61
708	10	36	61
709	10	36	61
710	10	36	61
711	11	36	62
712	10	36	61
713	10	36	62
714	11	36	62
715	10	36	62
716	11	36	62
717	10	36	61
718	10	36	62
719	10	36	61
720	10	36	62
721	10	36	61
722	10	36	61
723	11	37	62
724	10	36	62
725	10	36	62
726	11	35	62
727	10	36	62
728	11	36	62
729	10	36	61
730	11	36	62
731	10	34	62
732	10	36	61
733	11	36	62
734	11	36	62
735	10	36	62
736	10	36	62
737	11	36	62
738	10	36	61
739	10	36	61
740	11	37	62
741	11	36	62
742	11	35	62
743	11	36	62
744	10	36	61
745	10	36	62
746	11	36	62
747	11	36	62
748	11	36	62
749	10	36	61
750	10	36	62
751	11	36	62
752	11	36	62
753	10	36	61
754	11	36	62
755	10	36	61
756	11	36	62
757	10	34	60
758	11	36	62
759	10	36	62
760	10	36	62
761	10	36	61
762	10	36	61
763	11	36	62
764	11	36	62
765	11	37	62
766	10	36	61
767	10	36	61
768	11	37	62
769	10	36	62
770	11	36	62
771	11	36	62
772	11	36	62
773	11	36	62
774	10	36	62
775	10	36	62
776	10	36	61
777	10	36	62
778	10	36	61
779	11	37	62
780	11	36	62
781	11	37	62
782	10	36	62
783	10	36	62
784	11	36	62
785	11	36	62
786	10	36	61
787	10	36	62
788	11	36	62
789	10	36	62
790	11	36	62
791	10	36	61
792	11	37	62
793	11	36	62
794	11	36	62
795	11	36	62
796	10	36	61
797	11	37	62
798	10	36	62
799	10	36	62
800	11	34	62
801	10	34	62
802	10	36	61
803	11	37	62
804	10	36	61
805	11	37	62
806	11	36	62
807	10	36	62
808	10	36	61
809	10	36	62
810	11	36	62
811	11	36	62
812	11	36	62
813	10	36	62
814	11	37	62
815	10	36	61
816	11	37	62
817	10	36	61
818	11	37	62
819	10	36	61
820	11	37	62
821	10	36	62
822	10	36	62
823	11	36	62
824	10	36	62
825	10	36	61
826	11	37	62
827	11	36	62
828	11	36	62
829	11	36	62
830	11	36	62
831	11	36	62
832	11	36	62
833	11	37	62
834	10	36	62
835	11	36	62
836	10	36	61
837	11	36	62
838	11	36	62
839	11	36	62
840	11	36	62
841	10	36	62
842	11	36	62
843	10	36	62
844	10	34	62
845	11	35	62
846	11	37	62
847	10	36	62
848	11	37	62
849	11	37	62
850	11	37	62
851	10	36	61
852	10	36	61
853	10	36	61
854	10	36	62
855	10	36	62
856	11	36	62
857	11	36	62
858	11	36	62
859	11	36	62
860	11	36	62
861	10	36	62
862	10	36	61
863	10	36	61
864	10	36	61
865	10	36	62
866	10	36	62
867	10	36	61
868	10	36	62
869	10	36	61
870	11	37	62
871	11	36	62
872	10	36	62
873	10	36	62
874	10	36	61
875	10	36	61
876	10	36	62
877	11	36	62
878	11	36	62
879	11	36	62
880	11	36	62
881	11	36	62
882	10	36	62
883	11	36	62
884	10	36	61
885	11	37	62
886	11	34	62
887	11	37	62
888	10	36	61
889	10	36	62
890	11	36	62
891	10	36	62
892	11	37	62
893	11	37	62
894	10	36	61
895	11	36	62
896	10	36	61
897	11	36	62
898	10	36	61
899	10	36	62
900	11	36	62
901	11	35	62
902	10	36	61
903	11	36	62
904	10	36	62
905	10	36	62
906	11	36	62
907	10	34	62
908	11	36	62
909	11	37	62
910	10	36	61
911	10	36	62
912	10	36	61
913	10	36	61
914	11	37	62
915	11	36	62
916	11	35	62
917	11	34	62
918	10	36	61
919	10	36	62
920	11	36	62
921	10	36	62
922	11	36	62
923	10	36	62
924	10	36	62
925	10	34	61
926	10	34	61
927	10	36	61
928	11	36	62
929	11	36	62
930	10	36	62
931	10	36	62
932	10	36	61
933	10	36	62
934	11	35	62
935	11	36	62
936	10	36	62
937	11	36	62
938	11	37	62
939	11	36	62
940	11	34	62
941	11	34	62
942	11	36	62
943	11	35	62
944	10	36	62
945	11	37	62
946	11	36	62
947	11	36	62
948	11	36	62
949	10	36	61
950	10	36	61
951	11	36	62
952	10	36	61
953	11	37	62
954	10	36	61
955	11	36	62
956	11	37	62
957	11	35	62
958	11	36	62
959	10	36	61
960	10	36	62
961	11	37	62
962	11	36	62
963	11	37	62
964	10	34	61
965	11	37	62
966	10	36	62
967	10	36	61
968	11	36	62
969	10	36	62
970	10	36	62
971	10	36	62
972	10	36	61
973	10	36	62
974	10	36	61
975	11	36	62
976	11	37	62
977	10	36	61
978	11	37	62
979	10	36	62
980	11	36	62
981	11	36	62
982	10	36	61
983	11	37	62
984	11	37	62
985	11	37	62
986	10	36	61
987	10	36	61
988	10	36	61
989	10	36	62
990	11	36	62
991	10	34	61
992	10	36	62
993	10	36	62
994	11	36	62
995	10	36	62
996	10	36	61
997	11	37	62
998	11	37	62
999	10	36	62
