
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
334	43	68	23
335	22	137	159
336	58	84	39
337	69	21	45
338	45	69	24
339	65	22	46
340	22	46	67
341	65	22	46
342	67	22	45
343	22	45	67
344	66	21	45
345	22	46	68
346	43	69	24
347	22	46	70
348	21	43	68
349	67	22	45
350	21	45	67
351	21	45	67
352	22	46	68
353	43	69	24
354	22	46	67
355	43	69	24
356	21	45	67
357	22	45	67
358	67	22	46
359	112	67	92
360	22	45	69
361	43	68	23
362	22	46	67
363	67	22	45
364	22	46	70
365	69	22	46
366	45	69	24
367	21	45	69
368	43	68	23
369	67	22	47
370	22	43	69
371	67	22	46
372	43	69	24
373	44	68	23
374	43	69	24
375	21	45	67
376	43	69	24
377	21	139	161
378	66	21	45
379	43	69	24
380	80	35	60
381	22	46	68
382	22	45	67
383	113	139	161
384	67	22	45
385	43	69	24
386	43	68	23
387	114	140	161
388	66	21	45
389	22	46	68
390	67	22	45
391	69	22	46
392	22	46	68
393	67	22	46
394	21	45	67
395	22	45	69
396	45	69	24
397	43	69	24
398	62	88	43
399	21	45	67
400	103	129	82
401	21	45	67
402	22	46	68
403	45	69	24
404	67	22	45
405	112	67	93
406	43	69	24
407	43	69	24
408	22	45	69
409	21	45	161
410	22	46	69
411	43	68	23
412	43	69	24
413	159	22	139
414	44	68	23
415	67	22	45
416	43	69	24
417	21	45	67
418	67	22	45
419	66	21	45
420	22	46	67
421	22	45	67
422	67	22	46
423	22	46	68
424	67	22	46
425	67	22	45
426	22	46	68
427	45	163	24
428	22	46	68
429	66	21	45
430	21	45	67
431	66	21	45
432	45	68	23
433	69	22	45
434	45	68	23
435	67	22	46
436	22	46	67
437	21	45	67
438	81	104	59
439	21	45	69
440	43	68	23
441	45	69	24
442	69	22	45
443	65	22	46
444	66	21	45
445	69	21	45
446	65	22	46
447	66	21	45
448	45	68	23
449	45	69	24
450	43	68	23
451	65	22	45
452	108	63	89
453	70	22	46
454	21	45	67
455	22	45	67
456	45	161	24
457	108	132	154
458	67	22	46
459	45	69	24
460	22	46	68
461	140	97	120
462	45	69	24
463	22	45	69
464	43	69	24
465	45	69	24
466	67	22	46
467	45	68	23
468	66	21	45
469	21	45	67
470	22	141	163
471	67	22	45
472	43	69	24
473	67	22	45
474	65	22	46
475	45	69	24
476	22	45	69
477	67	22	46
478	43	68	23
479	43	69	24
480	132	87	111
481	65	22	46
482	22	46	68
483	22	46	67
484	67	22	46
485	43	69	24
486	65	21	45
487	22	46	70
488	22	45	161
489	132	89	113
490	67	22	47
491	22	45	67
492	22	45	67
493	21	45	69
494	69	21	45
495	22	46	68
496	76	33	57
497	67	22	47
498	21	45	67
499	69	93	48
500	22	45	69
501	67	22	45
502	45	69	24
503	68	93	46
504	47	69	24
505	82	37	62
506	70	22	46
507	45	68	23
508	70	22	46
509	67	22	45
510	67	22	46
511	45	69	24
512	109	133	155
513	65	22	46
514	65	22	46
515	21	45	67
516	67	22	46
517	65	22	46
518	43	68	23
519	45	69	24
520	22	46	67
521	67	22	46
522	45	68	23
523	22	46	68
524	21	43	68
525	22	46	70
526	114	140	161
527	22	46	68
528	52	75	97
529	65	22	46
530	43	68	23
531	43	69	24
532	22	46	68
533	21	139	161
534	43	69	24
535	159	114	139
536	22	45	67
537	45	69	24
538	43	69	24
539	43	69	24
540	65	22	45
541	22	46	70
542	67	22	46
543	43	69	24
544	22	46	68
545	22	46	67
546	67	22	45
547	45	69	24
548	43	69	24
549	22	46	68
550	45	69	24
551	45	161	24
552	43	69	24
553	43	69	24
554	43	68	23
555	45	71	24
556	44	68	23
557	70	22	46
558	21	45	67
559	67	22	46
560	43	69	24
561	22	46	68
562	43	69	24
563	22	46	68
564	65	22	46
565	21	45	69
566	43	69	24
567	22	46	68
568	22	46	70
569	22	46	68
570	21	45	67
571	22	140	161
572	65	21	45
573	22	46	68
574	56	81	34
575	21	45	67
576	22	46	68
577	43	68	23
578	69	22	46
579	69	22	46
580	45	68	23
581	104	61	85
582	22	46	67
583	65	22	46
584	45	68	23
585	67	22	46
586	66	21	45
587	43	69	24
588	44	68	23
589	43	69	24
590	65	22	46
591	43	68	23
592	69	22	46
593	45	69	24
594	22	45	67
595	65	22	45
596	22	43	68
597	45	69	24
598	70	94	116
599	43	69	24
600	22	46	68
601	43	69	24
602	43	68	23
603	43	69	24
604	22	45	67
605	65	22	46
606	159	22	46
607	45	69	24
608	22	46	68
609	21	45	69
610	21	45	67
611	22	46	68
612	43	69	24
613	22	46	68
614	67	22	46
615	47	69	23
616	67	22	46
617	22	46	68
618	67	22	46
619	67	22	46
620	159	22	140
621	44	68	23
622	67	22	46
623	137	161	24
624	22	46	68
625	134	89	115
626	22	46	67
627	48	70	24
628	22	45	67
629	68	23	49
630	67	22	46
631	104	130	152
632	43	68	23
633	133	159	114
634	65	22	45
635	66	21	45
636	65	22	46
637	98	121	76
638	45	69	24
639	22	46	68
640	31	57	79
641	22	46	68
642	65	22	46
643	67	22	46
644	67	22	46
645	65	22	46
646	64	21	45
647	78	104	57
648	65	22	45
649	67	22	46
650	67	91	113
651	43	68	23
652	67	22	46
653	22	45	69
654	67	22	46
655	64	21	45
656	67	22	46
657	21	45	69
658	117	72	98
659	43	68	23
660	45	69	24
661	102	54	78
662	66	21	45
663	22	45	69
664	44	68	23
665	77	101	56
666	22	46	67
667	110	134	89
668	67	22	46
669	67	22	46
670	65	22	46
671	43	68	23
672	76	102	124
673	44	68	23
674	65	22	45
675	44	68	23
676	65	22	46
677	21	45	67
678	22	46	70
679	67	22	46
680	22	45	67
681	73	97	52
682	44	68	23
683	45	68	23
684	43	68	23
685	67	22	46
686	21	45	67
687	22	45	67
688	45	68	23
689	22	45	67
690	45	68	23
691	65	22	46
692	67	22	45
693	43	69	24
694	45	69	24
695	22	46	69
696	45	69	24
697	22	46	70
698	65	22	46
699	22	46	70
700	66	21	45
701	21	45	67
702	65	22	45
703	54	78	99
704	21	43	68
705	67	22	47
706	65	22	46
707	22	139	161
708	65	21	45
709	65	22	46
710	66	21	45
711	45	69	24
712	67	22	47
713	66	21	45
714	66	21	45
715	21	45	67
716	22	45	67
717	39	62	84
718	45	68	23
719	45	69	24
720	43	69	24
721	67	22	46
722	22	46	68
723	22	46	159
724	45	69	24
725	65	22	46
726	67	22	46
727	67	22	46
728	22	46	67
729	67	22	46
730	22	46	67
731	137	160	115
732	45	69	24
733	64	21	45
734	21	45	69
735	21	45	67
736	67	22	45
737	22	46	68
738	22	46	68
739	66	21	45
740	43	69	24
741	45	69	24
742	44	68	23
743	66	21	45
744	67	22	46
745	65	22	46
746	45	69	24
747	21	43	68
748	126	83	107
749	66	21	45
750	102	125	80
751	22	46	67
752	21	45	69
753	22	45	67
754	45	69	24
755	59	83	105
756	22	46	67
757	45	69	24
758	22	46	70
759	43	69	24
760	22	46	68
761	22	46	67
762	22	46	68
763	66	21	45
764	67	22	46
765	43	69	24
766	45	69	24
767	45	69	24
768	86	109	131
769	43	68	23
770	43	69	24
771	21	45	67
772	67	22	45
773	43	69	24
774	43	69	24
775	86	112	133
776	22	46	68
777	22	46	70
778	43	69	24
779	114	138	93
780	67	22	46
781	21	45	69
782	67	22	46
783	66	21	45
784	67	22	46
785	22	45	67
786	43	69	24
787	22	45	67
788	22	45	69
789	45	69	24
790	21	45	67
791	22	45	67
792	22	46	69
793	22	46	67
794	21	45	67
795	45	69	24
796	45	69	24
797	22	43	69
798	153	108	133
799	70	22	46
800	22	46	70
801	44	68	23
802	22	46	67
803	45	69	24
804	22	46	68
805	22	46	68
806	67	22	45
807	67	22	46
808	66	21	45
809	66	21	45
810	43	69	24
811	62	86	41
812	43	69	24
813	21	45	67
814	67	22	48
815	65	22	46
816	22	46	68
817	22	43	69
818	45	69	24
819	43	69	24
820	82	108	130
821	43	68	23
822	47	70	92
823	43	68	23
824	65	21	45
825	45	160	23
826	137	160	115
827	43	69	24
828	69	22	45
829	43	69	24
830	22	137	159
831	67	22	45
832	43	69	24
833	45	69	24
834	43	69	24
835	44	68	23
836	67	22	45
837	70	22	46
838	73	29	53
839	43	69	24
840	43	69	24
841	21	45	69
842	66	21	45
843	48	70	24
844	45	69	24
845	22	45	67
846	22	46	69
847	43	68	23
848	43	69	24
849	22	46	70
850	22	45	67
851	22	46	67
852	43	68	23
853	67	22	46
854	67	22	46
855	43	68	23
856	67	22	45
857	45	69	24
858	66	21	45
859	43	68	23
860	43	69	24
861	67	22	46
862	21	45	67
863	45	69	24
864	66	21	45
865	43	69	24
866	22	140	161
867	65	22	46
868	45	69	24
869	22	45	69
870	45	69	24
871	43	69	24
872	45	68	23
873	45	69	24
874	21	45	67
875	65	22	46
876	22	46	68
877	45	69	24
878	22	45	69
879	22	45	67
880	67	22	48
881	43	69	24
882	67	22	46
883	67	22	46
884	43	69	24
885	22	45	67
886	45	69	24
887	43	68	23
888	66	21	45
889	69	21	45
890	22	46	68
891	43	69	24
892	22	45	69
893	43	68	23
894	22	46	68
895	21	45	161
896	22	46	68
897	22	45	67
898	70	22	46
899	65	22	45
900	43	69	24
901	43	69	24
902	49	72	27
903	66	21	45
904	67	22	46
905	45	68	23
906	67	22	46
907	43	69	24
908	22	46	68
909	67	22	45
910	45	68	23
911	44	68	23
912	21	45	67
913	66	21	45
914	67	22	45
915	21	45	67
916	65	21	45
917	45	69	24
918	43	68	23
919	43	69	24
920	65	22	45
921	104	126	151
922	22	46	70
923	114	139	161
924	45	69	24
925	88	113	66
926	21	45	67
927	45	68	23
928	45	69	24
929	45	69	24
930	100	126	148
931	43	69	24
932	45	69	24
933	52	78	33
934	22	46	68
935	21	45	67
936	95	118	140
937	44	68	23
938	45	68	23
939	21	45	67
940	43	69	24
941	137	161	24
942	65	21	45
943	43	68	23
944	153	21	45
945	108	134	156
946	67	22	46
947	43	69	24
948	45	69	24
949	45	68	23
950	22	45	67
951	66	21	45
952	66	21	45
953	22	45	67
954	21	45	67
955	22	46	68
956	22	46	68
957	22	46	68
958	22	46	70
959	133	156	111
960	83	106	61
961	155	22	45
962	158	113	139
963	45	69	24
964	65	22	45
965	22	45	67
966	43	68	23
967	22	46	67
968	43	68	23
969	116	140	95
970	67	22	45
971	45	68	23
972	22	45	69
973	21	45	67
974	22	46	68
975	64	21	45
976	112	138	93
977	97	121	143
978	21	43	68
979	67	22	45
980	159	22	46
981	67	22	46
982	22	45	67
983	67	22	47
984	67	22	46
985	45	68	23
986	67	22	45
987	45	69	24
988	65	22	46
989	22	45	67
990	66	21	45
991	67	22	46
992	22	46	68
993	43	69	24
994	22	46	69
995	44	68	23
996	45	69	24
997	22	43	69
998	45	69	24
999	45	68	23
