
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
169	5	28	138
170	5	29	51
171	5	29	139
172	3	26	48
173	5	29	51
174	3	27	49
175	74	98	119
176	5	28	50
177	5	27	51
178	3	27	137
179	18	42	64
180	5	29	51
181	3	27	49
182	4	28	50
183	4	28	50
184	3	115	139
185	5	29	51
186	3	27	49
187	5	28	50
188	5	29	51
189	5	117	139
190	5	29	51
191	5	29	51
192	5	28	50
193	5	29	51
194	3	26	48
195	5	27	51
196	5	29	51
197	5	28	50
198	3	26	48
199	5	27	51
200	5	28	50
201	4	28	50
202	5	28	50
203	5	28	50
204	3	27	48
205	5	29	50
206	5	28	50
207	4	26	50
208	3	27	49
209	29	53	75
210	5	28	50
211	5	29	51
212	3	26	50
213	5	28	50
214	5	28	50
215	3	27	49
216	5	28	50
217	3	27	49
218	4	28	50
219	3	26	48
220	89	113	135
221	5	27	51
222	5	28	50
223	4	28	50
224	5	117	139
225	5	28	50
226	3	27	49
227	3	27	50
228	5	28	50
229	4	28	50
230	5	29	51
231	5	28	50
232	3	27	49
233	5	29	51
234	3	27	49
235	3	26	48
236	4	28	134
237	5	28	50
238	5	29	51
239	3	27	49
240	67	90	112
241	3	26	50
242	3	26	48
243	3	27	139
244	4	28	50
245	3	27	49
246	3	27	49
247	3	27	49
248	46	69	93
249	3	27	49
250	84	108	130
251	3	26	48
252	3	27	49
253	4	28	50
254	3	27	49
255	38	62	84
256	5	29	50
257	5	29	51
258	5	29	51
259	4	28	50
260	3	26	48
261	33	56	78
262	3	27	49
263	3	27	49
264	5	27	51
265	3	27	51
266	3	27	49
267	3	27	49
268	5	29	51
269	3	27	48
270	5	29	51
271	3	113	136
272	78	102	123
273	3	26	48
274	5	29	51
275	5	29	51
276	3	27	49
277	5	28	50
278	5	29	51
279	5	29	51
280	5	27	51
281	5	29	50
282	3	26	50
283	5	29	51
284	5	29	50
285	5	29	51
286	68	92	114
287	3	26	48
288	4	28	50
289	3	26	136
290	3	27	49
291	5	29	51
292	4	28	50
293	5	29	51
294	5	29	50
295	5	29	51
296	3	27	49
297	3	27	49
298	3	27	48
299	3	27	49
300	3	27	51
301	3	26	48
302	5	29	51
303	3	26	48
304	5	28	50
305	5	29	51
306	3	27	49
307	3	27	139
308	5	29	51
309	3	27	49
310	3	115	139
311	9	33	54
312	5	29	50
313	5	29	51
314	4	28	50
315	3	27	49
316	5	29	51
317	3	27	49
318	57	79	103
319	3	26	48
320	3	26	50
321	5	28	50
322	5	29	50
323	5	28	50
324	3	27	50
325	53	77	101
326	31	54	76
327	5	28	50
328	5	29	51
329	3	27	49
330	5	28	50
331	3	27	49
332	84	107	129
333	5	28	50
334	5	28	50
335	3	26	48
336	48	72	94
337	3	27	49
338	5	28	50
339	3	27	50
340	5	29	51
341	80	101	125
342	5	29	50
343	5	28	50
344	3	27	51
345	3	26	48
346	5	29	51
347	5	29	51
348	18	41	63
349	39	62	84
350	5	29	51
351	91	115	137
352	5	29	50
353	54	77	99
354	3	27	51
355	3	26	48
356	12	36	58
357	5	27	51
358	3	27	49
359	3	27	50
360	5	29	50
361	22	46	68
362	3	26	50
363	3	26	50
364	3	26	50
365	4	28	50
366	3	27	49
367	3	27	48
368	4	28	50
369	56	80	101
370	3	27	49
371	3	27	48
372	5	26	50
373	5	29	51
374	5	29	51
375	5	29	51
376	5	27	51
377	3	26	48
378	3	27	49
379	3	27	49
380	5	28	50
381	5	29	51
382	55	79	103
383	3	115	138
384	3	27	49
385	3	27	49
386	5	29	51
387	3	27	51
388	3	26	48
389	3	26	48
390	3	27	49
391	5	29	51
392	3	27	51
393	5	29	51
394	5	28	50
395	3	27	49
396	4	28	50
397	4	26	50
398	3	27	49
399	70	94	116
400	5	26	50
401	3	27	49
402	85	109	131
403	5	29	50
404	5	29	51
405	5	29	51
406	3	27	49
407	3	27	51
408	5	29	51
409	3	27	49
410	5	29	51
411	5	29	51
412	5	29	50
413	3	27	49
414	3	27	48
415	3	27	49
416	5	29	51
417	5	29	51
418	3	27	49
419	3	27	49
420	3	27	51
421	3	26	48
422	3	26	48
423	3	27	49
424	3	27	49
425	5	28	138
426	5	29	51
427	5	28	50
428	5	28	50
429	3	27	51
430	48	71	93
431	3	27	49
432	4	28	50
433	4	28	50
434	5	27	51
435	5	29	51
436	5	29	51
437	3	27	49
438	5	28	50
439	3	27	49
440	3	26	48
441	63	86	108
442	3	115	137
443	5	27	51
444	5	28	50
445	4	28	50
446	3	26	48
447	20	44	66
448	7	31	53
449	5	29	51
450	5	29	50
451	3	27	137
452	3	27	49
453	5	29	51
454	5	29	50
455	4	26	50
456	5	29	51
457	5	29	51
458	3	27	50
459	5	28	138
460	5	29	50
461	5	28	50
462	4	28	50
463	3	26	48
464	5	28	50
465	5	29	141
466	3	26	50
467	3	27	49
468	3	111	135
469	3	27	49
470	5	29	51
471	5	29	50
472	3	27	49
473	3	27	48
474	5	29	51
475	5	29	50
476	23	47	69
477	4	28	50
478	4	28	50
479	5	29	51
480	5	29	51
481	3	27	51
482	5	29	51
483	3	26	50
484	5	29	139
485	3	26	48
486	3	26	48
487	3	26	48
488	5	29	50
489	30	53	75
490	5	29	50
491	3	26	48
492	3	27	49
493	3	26	48
494	5	29	51
495	56	80	102
496	3	26	48
497	3	27	50
498	3	27	49
499	5	28	50
500	5	29	50
501	5	28	50
502	5	29	50
503	5	29	51
504	5	29	51
505	5	28	50
506	5	29	51
507	5	29	50
508	3	27	49
509	5	29	50
510	3	26	48
511	3	27	51
512	3	27	50
513	4	28	50
514	89	113	135
515	3	27	51
516	3	26	50
517	5	27	51
518	5	28	50
519	4	28	50
520	3	27	51
521	3	27	49
522	5	29	51
523	56	79	101
524	4	114	138
525	3	27	51
526	46	70	92
527	93	117	138
528	5	29	51
529	50	73	95
530	5	29	50
531	3	27	48
532	3	27	49
533	76	100	122
534	5	28	50
535	57	81	103
536	3	26	48
537	3	27	49
538	5	29	51
539	3	27	48
540	5	29	51
541	5	28	50
542	5	29	51
543	3	27	51
544	41	65	88
545	5	28	50
546	46	70	92
547	5	29	51
548	5	29	51
549	3	26	48
550	3	26	48
551	5	29	51
552	5	28	50
553	3	27	49
554	5	29	50
555	3	26	48
556	5	29	51
557	5	27	50
558	93	117	138
559	3	27	49
560	3	27	49
561	3	27	49
562	5	28	50
563	5	28	50
564	3	26	50
565	3	26	50
566	5	28	50
567	3	27	51
568	4	28	50
569	5	29	51
570	5	28	50
571	3	26	50
572	3	27	48
573	5	29	51
574	4	28	50
575	3	27	49
576	93	116	138
577	88	112	133
578	5	29	51
579	3	27	49
580	70	94	116
581	3	26	48
582	5	29	51
583	3	26	48
584	5	28	50
585	3	27	49
586	3	27	49
587	5	29	51
588	5	29	51
589	3	27	49
590	3	27	49
591	3	27	49
592	3	27	49
593	3	26	50
594	3	27	49
595	5	29	51
596	3	27	49
597	3	26	48
598	3	27	49
599	5	28	50
600	5	29	50
601	3	27	49
602	3	27	49
603	5	28	50
604	5	29	50
605	5	29	51
606	3	27	51
607	5	29	51
608	5	28	50
609	3	27	49
610	5	29	51
611	3	27	48
612	3	27	49
613	5	28	50
614	5	29	51
615	5	29	51
616	3	27	49
617	3	27	49
618	5	27	51
619	5	29	51
620	3	27	137
621	5	29	51
622	5	29	51
623	5	28	50
624	5	28	50
625	5	29	51
626	3	26	48
627	4	28	50
628	5	29	51
629	5	29	51
630	3	27	49
631	3	27	49
632	5	29	51
633	5	28	50
634	78	102	125
635	3	26	48
636	5	27	50
637	5	29	50
638	5	29	51
639	3	27	135
640	5	28	50
641	39	63	86
642	3	117	139
643	3	27	50
644	5	29	50
645	4	28	50
646	74	98	120
647	3	27	51
648	5	27	51
649	3	27	48
650	5	29	50
651	5	27	51
652	5	28	50
653	5	29	51
654	3	27	49
655	5	29	50
656	3	27	49
657	3	26	48
658	4	28	50
659	5	29	51
660	3	27	50
661	3	27	51
662	3	27	49
663	5	112	133
664	3	27	49
665	3	27	49
666	4	28	50
667	5	29	51
668	3	26	48
669	5	29	51
670	77	100	124
671	3	27	51
672	5	29	51
673	5	29	51
674	3	27	49
675	4	28	50
676	5	29	51
677	3	27	51
678	3	27	51
679	24	48	70
680	5	28	50
681	3	26	48
682	5	117	139
683	70	94	116
684	3	27	49
685	3	26	48
686	3	27	51
687	3	26	48
688	3	26	50
689	3	27	49
690	3	27	49
691	3	27	50
692	48	72	93
693	4	28	50
694	5	28	50
695	5	29	139
696	5	28	50
697	5	27	51
698	5	29	51
699	5	28	50
700	3	27	49
701	3	27	49
702	3	27	49
703	3	26	48
704	5	28	50
705	5	29	139
706	3	26	48
707	5	29	51
708	31	55	77
709	80	103	125
710	5	28	50
711	5	29	51
712	5	28	50
713	5	27	50
714	5	29	51
715	5	28	50
716	3	27	49
717	5	29	51
718	3	26	48
719	3	27	50
720	5	29	51
721	5	28	50
722	5	29	51
723	5	29	51
724	4	28	50
725	3	26	48
726	3	26	48
727	3	27	48
728	5	29	51
729	61	85	106
730	5	29	51
731	5	29	51
732	4	28	50
733	5	28	50
734	5	28	50
735	5	29	51
736	3	27	50
737	3	27	51
738	3	26	48
739	5	28	50
740	3	26	48
741	3	27	48
742	5	27	51
743	5	29	51
744	5	29	50
745	3	27	51
746	4	28	50
747	4	28	50
748	5	28	50
749	89	113	135
750	3	26	48
751	56	79	101
752	5	29	51
753	5	29	51
754	3	27	49
755	5	29	50
756	5	29	50
757	5	28	50
758	3	27	49
759	5	28	50
760	3	27	49
761	3	27	49
762	5	29	51
763	5	28	50
764	3	27	49
765	70	94	116
766	3	26	48
767	3	27	49
768	5	29	51
769	3	27	51
770	76	100	122
771	5	26	138
772	3	27	49
773	3	27	49
774	3	27	50
775	3	27	50
776	5	29	51
777	72	96	118
778	33	55	79
779	5	29	50
780	3	27	49
781	3	26	48
782	33	57	80
783	8	32	54
784	5	28	50
785	5	29	51
786	59	83	105
787	5	29	51
788	3	27	51
789	5	29	51
790	5	29	51
791	9	33	55
792	3	27	51
793	5	29	51
794	5	29	51
795	3	27	49
796	5	28	50
797	3	26	48
798	5	29	51
799	4	28	50
800	5	29	51
801	4	28	50
802	5	29	51
803	5	27	50
804	5	28	50
805	72	96	118
806	5	29	51
807	3	27	49
808	5	28	50
809	3	27	49
810	5	27	51
811	3	27	51
812	5	29	51
813	3	27	48
814	28	51	73
815	5	117	141
816	3	26	48
817	5	28	50
818	3	27	49
819	5	29	51
820	5	29	51
821	5	29	51
822	4	28	50
823	3	27	51
824	5	27	50
825	5	29	51
826	3	27	49
827	3	27	49
828	84	107	129
829	5	29	50
830	3	27	49
831	5	28	50
832	3	27	49
833	3	27	49
834	3	27	48
835	5	29	50
836	25	49	71
837	4	28	50
838	5	28	50
839	5	29	51
840	93	117	139
841	63	87	108
842	4	28	50
843	5	29	51
844	3	27	49
845	29	53	75
846	3	27	49
847	3	27	51
848	5	29	51
849	46	70	92
850	5	27	51
851	61	83	107
852	3	27	49
853	4	26	50
854	80	104	126
855	5	29	50
856	66	90	112
857	5	29	50
858	31	55	77
859	3	27	51
860	7	31	53
861	5	28	50
862	5	29	51
863	5	29	51
864	5	28	50
865	5	29	51
866	5	29	50
867	3	26	48
868	48	72	94
869	5	28	50
870	5	28	50
871	3	27	49
872	5	28	50
873	5	29	51
874	5	29	51
875	3	27	49
876	3	26	48
877	5	29	51
878	4	116	138
879	5	29	51
880	4	28	50
881	18	42	64
882	3	27	49
883	3	27	139
884	5	29	51
885	65	89	111
886	5	28	50
887	5	28	50
888	4	28	50
889	5	29	139
890	5	29	51
891	5	29	51
892	3	27	49
893	5	29	51
894	5	29	51
895	3	27	49
896	5	27	50
897	3	27	49
898	3	27	49
899	3	27	48
900	93	117	139
901	3	27	50
902	5	29	51
903	5	29	51
904	5	29	51
905	3	26	48
906	5	29	51
907	5	29	51
908	5	29	51
909	53	77	101
910	67	91	113
911	5	29	51
912	3	27	49
913	3	26	48
914	5	28	50
915	3	26	48
916	4	28	50
917	9	33	55
918	5	29	51
919	5	28	50
920	5	29	51
921	3	27	49
922	3	27	49
923	5	29	51
924	50	74	96
925	5	29	51
926	3	114	138
927	5	28	50
928	3	26	48
929	3	27	48
930	5	27	51
931	3	27	49
932	3	26	48
933	5	29	51
934	5	29	51
935	3	27	50
936	3	27	49
937	66	90	112
938	3	27	49
939	5	29	51
940	5	29	51
941	5	27	51
942	5	28	50
943	5	29	51
944	3	27	49
945	3	27	49
946	5	29	50
947	5	28	50
948	3	27	51
949	3	27	49
950	3	26	50
951	3	27	49
952	3	27	51
953	3	26	48
954	5	27	51
955	5	28	50
956	3	27	49
957	35	57	80
958	3	27	49
959	5	29	51
960	5	29	51
961	3	27	50
962	5	28	50
963	3	27	51
964	5	28	50
965	5	27	51
966	5	29	51
967	5	29	50
968	5	29	50
969	57	81	103
970	5	28	50
971	5	29	51
972	35	59	81
973	5	29	51
974	3	27	51
975	4	28	50
976	5	29	51
977	5	29	139
978	3	27	49
979	3	27	49
980	5	29	51
981	3	27	51
982	3	27	49
983	5	28	50
984	5	29	51
985	5	29	51
986	5	28	50
987	5	29	51
988	3	27	49
989	5	28	50
990	5	29	51
991	5	29	50
992	5	28	50
993	5	29	51
994	3	27	48
995	5	29	51
996	3	27	48
997	5	29	51
998	5	29	51
999	3	27	49
